Dataset Atlas Type Value
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9175427329009617
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8654829464753524
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8581626547549636
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9008907811723548
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8976708508370486
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8473689488742984
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7171910119506689
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8255994117714733
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.90025895141068
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.6937140075035585
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9351059700546649
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8813727679430811
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7604409445529458
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9043312009539944
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.907305725500433
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8669840080436898
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8790686194625034
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8600018226133804
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8694458452822238
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8393160333690001
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8554395608031357
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8512592079044822
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8831353419111011
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9062766347482257
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8351340737735182
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8871784590841574
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8455105354002349
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8591599477726364
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8661177108727264
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8836247628996851
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8217944814584534
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8858662956653373
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9148072612527611
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8745514572767393
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8562844520651549
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7138769568333072
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9165782446467234
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8548429599652957
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9173804717509654
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8927563619114428
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8565790017623208
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8734067456914535
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9132204486676154
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9435071019734983
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8665045741224718
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9304759691142586
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.798362712271176
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8815588580384274
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8915915520486519
